,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
B,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
C,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
D,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
E,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
F,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
G,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
H,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
I,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
J,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
K,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
L,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25,v1_ndft_m1.25
