,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
B,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
C,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
D,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
E,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
F,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
G,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
H,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
I,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
J,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_ndmso_m0.0125,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060,v1_nbafa_m0.060
